asset_id,asset_type,asset_status,laptop_model,manufacturer,assigned_to,assignment_date,operating_system,processor_type,ram_size,storage_size,last_service_date,next_service_due_date,repair_history,end_of_life_date,replacement_recommendation,asset_utilisation_score,incident_count
7FF6Z91E,laptop,assigned,lenovo ideapad,lenovo,1001,2023-02-13,windows 10,intel core i7,32 gb,512 gb ssd,2024-01-17,2024-05-30,minor repairs,2025-05-24,no replacement needed,0.58,8
OJPFK4LY,laptop,assigned,macbook air,apple,1002,2023-05-09,macos big sur,amd ryzen 5,8 gb,512 gb ssd,2024-01-18,2024-05-27,major repairs,2025-07-08,replace soon,0.88,5
W5V6VGW0,laptop,in repair,hp pavilion,hp,1003,2023-05-13,ubuntu 20.04,intel core i5,8 gb,512 gb ssd,2024-02-01,2024-05-17,minor repairs,2025-03-17,replace soon,0.93,4
3H3C1DQS,laptop,assigned,macbook pro,apple,1004,2023-04-30,macos big sur,amd ryzen 5,32 gb,512 gb ssd,2024-01-13,2024-05-18,major repairs,2025-09-10,replace soon,0.57,4
AASC41BG,laptop,assigned,lenovo ideapad,lenovo,1005,2023-05-03,ubuntu 20.04,intel core i7,8 gb,256 gb ssd,2024-01-06,2024-05-29,minor repairs,2025-11-28,no replacement needed,0.72,9
0SUPA3WT,laptop,retired,dell inspiron,dell,1006,2023-04-20,windows 10,amd ryzen 5,8 gb,1 tb hdd,2024-01-31,2024-05-27,minor repairs,2025-01-15,no replacement needed,0.7,7
4QAVKFKI,laptop,in repair,macbook air,apple,1007,2023-03-03,macos big sur,intel core i5,32 gb,256 gb ssd,2024-01-05,2024-05-18,no repairs,2025-04-08,replace soon,0.76,6
684O8KUB,laptop,retired,macbook air,apple,1008,2023-04-13,windows 10,intel core i5,32 gb,512 gb ssd,2024-01-13,2024-05-03,minor repairs,2025-06-13,replace soon,0.56,1
OBBZD9DQ,laptop,assigned,dell inspiron,dell,1009,2023-02-08,macos big sur,intel core i7,32 gb,256 gb ssd,2024-01-22,2024-05-15,no repairs,2025-05-01,no replacement needed,0.67,6
F19ABELK,laptop,in repair,macbook air,apple,1010,2023-02-02,macos big sur,intel core i7,32 gb,512 gb ssd,2024-01-09,2024-05-14,major repairs,2025-12-28,no replacement needed,0.91,3
XRTV48EG,laptop,assigned,macbook air,apple,1011,2023-02-11,windows 10,intel core i7,32 gb,1 tb hdd,2024-01-24,2024-05-20,major repairs,2025-01-06,replace soon,0.64,3
I92OLJV2,laptop,assigned,dell inspiron,dell,1012,2023-04-12,ubuntu 20.04,intel core i7,32 gb,1 tb hdd,2024-01-12,2024-05-18,minor repairs,2025-05-20,no replacement needed,0.84,5
83YKUG27,laptop,retired,lenovo ideapad,lenovo,1013,2023-01-27,macos big sur,amd ryzen 5,16 gb,1 tb hdd,2024-01-02,2024-05-28,no repairs,2025-03-30,replace soon,0.55,1
42BMG5JC,laptop,in repair,hp pavilion,hp,1014,2023-02-18,ubuntu 20.04,intel core i7,8 gb,1 tb hdd,2024-01-12,2024-05-01,no repairs,2025-11-01,replace soon,0.79,0
4T15NIIM,laptop,retired,lenovo ideapad,lenovo,1015,2023-02-11,ubuntu 20.04,amd ryzen 5,16 gb,256 gb ssd,2024-01-25,2024-05-10,major repairs,2025-11-10,no replacement needed,0.63,5
EBV4YXDB,laptop,assigned,macbook pro,apple,1016,2023-02-17,ubuntu 20.04,intel core i5,16 gb,512 gb ssd,2024-01-27,2024-05-24,no repairs,2025-04-11,no replacement needed,0.8,8
17UC66LQ,laptop,assigned,macbook air,apple,1017,2023-03-09,windows 10,amd ryzen 5,8 gb,256 gb ssd,2024-01-07,2024-05-28,no repairs,2025-02-27,replace soon,0.81,5
